Title,Runtime,Genre,Rating,Directors,Stars
 1. The Gentlemen (2019) ,113,"Action, Comedy, Crime",7.8,Guy Ritchie,"Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong"
 2. Knives Out (2019) ,130,"Comedy, Crime, Drama",7.9,Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis"
 3. 1917 (2019) ,119,"Drama, Thriller, War",8.3,Sam Mendes,"Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth"
 4. Cats (2019) ,110,"Comedy, Drama, Family",2.8,Tom Hooper,"James Corden,Judi Dench,Jason Derulo,Idris Elba"
 5. Gisaengchung (2019) ,132,"Comedy, Drama, Thriller",8.6,Bong Joon Ho,"Song Kang-Ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik"
 6. Sound of Metal (2019) ,120,"Drama, Music",7.8,Darius Marder,"Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff"
 7. Klaus (2019) ,96,"Animation, Adventure, Comedy",8.2,"Sergio Pablos,Carlos Martínez López","Jason Schwartzman,J.K. Simmons,Rashida Jones,Will Sasso"
 8. Once Upon a Time... in Hollywood (2019) ,161,"Comedy, Drama",7.6,Quentin Tarantino,"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch"
 9. Star Wars: Episode IX - The Rise of Skywalker (2019) ,141,"Action, Adventure, Fantasy",6.6,J.J. Abrams,"Daisy Ridley,John Boyega,Oscar Isaac,Adam Driver"
 10. Avengers: Endgame (2019) ,181,"Action, Adventure, Drama",8.4,"Anthony Russo,Joe Russo","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth"
 11. Little Women (2019) ,135,"Drama, Romance",7.8,Greta Gerwig,"Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen"
 12. After (I) (2019) ,105,"Drama, Romance",5.3,Jenny Gage,"Josephine Langford,Hero Fiennes Tiffin,Khadijha Red Thunder,Dylan Arnold"
 13. Joker (2019) ,122,"Crime, Drama, Thriller",8.5,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy"
 14. The Professor and the Madman (2019) ,124,"Biography, Drama",7.3,Farhad Safinia,"Mel Gibson,Sean Penn,Eddie Marsan,Natalie Dormer"
 15. Bombshell (I) (2019) ,109,"Biography, Drama",6.8,Jay Roach,"Charlize Theron,Nicole Kidman,Margot Robbie,John Lithgow"
 16. Last Christmas (2019) ,103,"Comedy, Drama, Romance",6.5,Paul Feig,"Madison Ingoldsby,Emma Thompson,Boris Isakovic,Lucy Miller"
 17. Jojo Rabbit (2019) ,108,"Comedy, Drama, War",7.9,Taika Waititi,"Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi"
 18. Escape Room (I) (2019) ,99,"Action, Adventure, Horror",6.4,Adam Robitel,"Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine"
 19. Doctor Sleep (2019) ,152,"Drama, Fantasy, Horror",7.3,Mike Flanagan,"Ewan McGregor,Rebecca Ferguson,Kyliegh Curran,Cliff Curtis"
 20. Ford v Ferrari (2019) ,152,"Action, Biography, Drama",8.1,James Mangold,"Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe"
 21. Midsommar (2019) ,148,"Drama, Horror, Mystery",7.1,Ari Aster,"Florence Pugh,Jack Reynor,Vilhelm Blomgren,William Jackson Harper"
