Name,Runtime,Genre,IMDB,Director,Stars
Crypto Heads,100,Drama,8.0,Daniel J. Gillin,"Jeremy London, Jon Mack, Todd Phillips, Jessica Cameron"
Sài Gòn Trong Cơn Mưa,105,"Drama, Romance",7.0,Le Minh Hoang,"Truc Anh, Quang Dai, Phuong Anh Dao, Nguyen Dat"
Akelarre,90,"Action, Adventure, Drama",5.7,Pablo Agüero,"Amaia Aberasturi, Alex Brendemühl, Daniel Fanego, Garazi Urkola"
Il talento del calabrone,84,Thriller,5.7,Giacomo Cimini,"Sergio Castellitto, Lorenzo Richelmy, Anna Foglietta, Marina Occhionero"
Safeguard,90,"Action, Adventure, Thriller",3.2,Fraser Precious,"Patrick Gallagher, Akie Kotabe, Stefan Boehm, Sean Cronin"
No Gogó do Paulinho,98,Comedy,5.4,Roberto Santucci,"Maurício Manfrini, Cacau Protásio, Cláudio Amado, Anderson Antunes"
De beentjes van Sint-Hildegard,103,"Comedy, Drama",7.7,Johan Nijenhuis,"Herman Finkers, Johanna ter Steege, Leonie ter Braak, Ferdi Stofmeel"
Svartklubb,79,Horror,5.5,Nils Alatalo,"Isabelle Grill, Tuva Jagell, Victor Iván, Sebastian Norén"
Le lion,95,Comedy,5.3,Ludovic Colbeau-Justin,"Dany Boon, Philippe Katerine, Anne Serra, Samuel Jouy"
Enemy Lines,92,War,4.7,Anders Banke,"Ed Westwick, John Hannah, Tom Wisdom, Corey Johnson"
Herself,97,Drama,6.8,Phyllida Lloyd,"Molly McCann, Clare Dunne, Ruby Rose O'Hara, Ian Lloyd Anderson"
Coffee & Kareem,88,"Action, Comedy, Crime",5.1,Michael Dowse,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin"
Rosa pietra stella,94,Drama,5.4,Marcello Sannino,"Ivana Lotito, Ludovica Nasti, Fabrizio Rongione, Imma Piro"
Baby Done,91,Comedy,6.9,Curtis Vowell,"Rachel House, Matthew Lewis, Emily Barclay, Rose Matafeo"
Felicità,81,Comedy,6.5,Bruno Merle,"Pio Marmaï, Rita Merle, Camille Rutherford, Orelsan"
Min pappa Marianne,110,"Comedy, Drama",7.1,Mårten Klingberg,"Hedda Stiernstedt, Rolf Lassgård, Lena Endre, Klas Wiljergård"
I Care a Lot,118,"Comedy, Crime, Thriller",7.4,J Blakeson,"Rosamund Pike, Eiza González, Dianne Wiest, Isiah Whitlock Jr."
Aladdin,104,"Drama, Musical, Romance",4.9,Vitaliy Versace,"Natasha Alam, Vitaliy Versace, Yuliya Zelenskaya, Irina Stemer"
Mogul Mowgli,90,Drama,6.7,Bassam Tariq,"Riz Ahmed, Anjana Vasan, Aiysha Hart, Nabhaan Rizwan"
